Cluster_ID,Keywords,Examples,Stage1_FewShot,Stage2_Critic,Fixed_Label,Label_Source,Root,Parent,Leaf,Coherence_Score,Total_Attempts,Quality
0,"cd, dvd, gb, pc, verbatim",Fujitsu FPCDL231AP optical disc drive Internal Black DVD Super Multi DL || NEC AD-7170 optical disc drive Internal Ivory DVD-RW || Sony AD-7243S optical disc drive Internal Silver,Electronics > Storage Devices > Optical Disc Drives,Electronics > Storage Devices > Optical Disc Drives,Electronics > Storage Devices > Optical Disc Drives,Stage2,Electronics,Storage Devices,Optical Disc Drives,0.6285,2,Excellent (≥0.60)
1,"gb, hp, i5, intel, sdram","HP EliteDesk 800 G2 Tower Bezel/Dust Filter || HP 406505-091 rack console 43.9 cm (17.3"") 1600 x 900 pixels Silver || HP 11636 1075mm Shock Universal Rack",Electronics > Computer Hardware > Memory,Electronics > Computer Hardware > Memory Modules,Electronics > Computer Hardware > Memory Modules,Stage2,Electronics,Computer Hardware,Memory Modules,0.2162,2,Low (<0.30)
2,"dpi, mouse, optical, usb, wireless",Contour Design Shuttle Xpress remote control Wired || Logitech 910-005020 input device accessory USB receiver || BakkerElkhuizen Evoluent Lefthanded Keyboard (US),Electronics > Computer Accessories > Input Devices,Electronics > Input Devices > Mouse,Electronics > Computer Accessories > Input Devices,Stage1_kept,Electronics,Computer Accessories,Input Devices,0.5232,2,Good (0.45-0.60)
3,"0u, input, pdu, rack, vertiv",Vertiv PM2012V power distribution unit (PDU) 0U Black 20 AC outlet(s) || Vertiv GEIST RPDU SWITCHED 0U INPC20 230V 16A OUTP (21)C13 power distribution unit (PDU) Black 24 AC outlet(s) || Vertiv Avocent PM3000 power distribution unit (PDU) 1U Black 10 AC outlet(s),Electronics > Data Centers & Networking > Power Distribution Units,Electronics > Power Distribution Units > PDU,Electronics > Power Distribution Units > PDU,Stage2,Electronics,Power Distribution Units,PDU,0.5729,2,Good (0.45-0.60)
4,"1200, a4, dpi, printer, xerox","Xerox 152S06426 power cable || Xerox 128 Mb Memory, Phaser 3250 || Xerox 256MB memory for Phaser™ 4500 memory module 0.25 GB DRAM",Office Supplies > Printing Equipment > Printers,Office Supplies > Printers > Xerox,Office Supplies > Printers > Xerox,Stage2,Office Supplies,Printers,Xerox,0.3439,2,Acceptable (0.30-0.45)
5,"black, camera, case, compact, logic",Casio EX-word BIG-CASE e-book reader case Pouch case Black || Case Logic PDA case voor Compaq Ipaq || Targus TSS177US Black,Electronics > Camera Accessories > Camera Cases,Electronics > Camera Accessories > Camera Case,Electronics > Camera Accessories > Camera Case,Stage2,Electronics,Camera Accessories,Camera Case,0.3858,2,Acceptable (0.30-0.45)
6,"ddr3, gb, memory, mhz, module",Supermicro 4GB DDR2-667MHz FB-DIMM memory module || HP 48GB DDR4-2666 memory module 2666 MHz ECC || Lenovo 2GB PC2-5300 667MHz DDR2 SDRAM SODIMM Memory memory module,Electronics > Computer Components > RAM Modules,Electronics > Computer Hardware > Memory Modules,Electronics > Computer Hardware > Memory Modules,Stage2,Electronics,Computer Hardware,Memory Modules,0.6208,2,Excellent (≥0.60)
7,"cable, sas, scsi, serial, supermicro","Supermicro CBL-SAST-0529 cable interface/gender adapter 2x SAS 29-pin 2x SATA+8-pin Black,Red,Yellow || Fujitsu S26361-F4473-L240 cable interface/gender adapter VGA RJ-45 Black || Supermicro CBL-0173L FireWire cable Black 0.3 m",Electronics > Data Storage & Networking > Cables & Adapters,Electronics > Cables & Networking > SAS & SCSI Cables,Electronics > Cables & Networking > SAS & SCSI Cables,Stage2,Electronics,Cables & Networking,SAS & SCSI Cables,0.4697,2,Good (0.45-0.60)
8,"black, hp, magenta, original, pc","HP 364 Series Photo Value Pack photo paper || XYZprinting ABS, 1.75 mm Blue 600 g || XYZprinting R1NKXXY102E 3D printing material Magenta",Office Supplies > Printing Materials > Toner Cartridges,"Office Supplies > Printing Materials > Toner Cartridges (Black, HP, Magenta, Original, PC)",Office Supplies > Printing Materials > Toner Cartridges,Stage2,Office Supplies,Printing Materials,Toner Cartridges,0.5596,2,Good (0.45-0.60)
9,"ceiling, chief, flat, mount, panel",Newstar NS-CC050BLACK cable protector Black || Chief CMA274 cable protector Black || Vogel's CABLE 4 SILVER Cable cover 94 cm,Home & Office > Wiring & Storage > Cable Protectors,Office Supplies > Wiring & Storage > Cable Protectors,Home & Office > Wiring & Storage > Cable Protectors,Stage1_kept,Home & Office,Wiring & Storage,Cable Protectors,0.4837,2,Good (0.45-0.60)
10,"corel, paintshop, pro, studio, videostudio",Corel Roxio Easy VHS to DVD 3 Plus video capturing device USB 2.0 || Corel PaintShop Pro 2019 Ultimate || Corel PaintShop Pro X8 Ultimate,Software > Graphics & Design Software > Image Editing Software,Software > Graphics & Design Software > Corel PaintShop Pro Studio VideoSoftware,Software > Graphics & Design Software > PaintShop Pro Studio VideoSoftware,Stage2,Software,Graphics & Design Software,PaintShop Pro Studio VideoSoftware,0.5773,2,Good (0.45-0.60)
11,"black, power, silver, supply, unit",2-Power ALT0948A power supply unit 240 W Silver || Supermicro PWS-503D-240 power supply unit 500 W 1U Metallic || HP Proliant power supply unit 1000 W SFX Silver,Electronics > Power Supplies > Supply Units,Electronics > Power Supplies > Power Supply Units,Electronics > Power Supplies > Power Supply Units,Stage2,Electronics,Power Supplies,Power Supply Units,0.5514,2,Good (0.45-0.60)
12,"e5, ghz, intel, server, xeon",Lenovo Rack Kit TD350 || Lenovo BladeCenter S Rack Black || Fujitsu PCR M2 42U 600 Freestanding rack Black,Electronics > Computer Hardware > Servers,Electronics > Computer Hardware > Servers,Electronics > Computer Hardware > Servers,Stage2,Electronics,Computer Hardware,Servers,0.2746,2,Low (<0.30)
13,"black, ceiling, chief, mount, project",Chief CPA072S mounting kit || Plustek Mounted Slides || Chief CPA036 projector accessory,Office Supplies > Presentation Equipment > Projector Accessories,Office Supplies > Presentation Equipment > Projector Mounting Accessories,Office Supplies > Presentation Equipment > Projector Mounting Accessories,Stage2,Office Supplies,Presentation Equipment,Projector Mounting Accessories,0.6598,2,Excellent (≥0.60)
14,"battery, handheld, mobile, power, spare","2-Power UBP0109A power bank Green,Orange Lithium-Ion (Li-Ion) 2600 mAh || ASUS Akku 1100mAh für A730 || HP FA889AA Battery",Electronics > Power Supply > Batteries,Electronics > Batteries > Battery,Electronics > Batteries > Battery,Stage2,Electronics,Batteries,Battery,0.3832,2,Acceptable (0.30-0.45)
